Time,U,V,W,U Avg,V Avg,W Avg,U'=U - U avg,V'=V - V avg,W'=W - W avg,Octant, ,Octant ID,1,-1,2,-2,3,-3,4,-4
0.00,32.80,5.97,3.08,27.30653354,0.048330476,0.10757774,5.493466460,5.921669524,2.972422260,1,,Overall Count,2610,4603,4855,2798,4548,2784,2769,4778
0.01,30.57,5.56,0.80,,,,3.263466460,5.511669524,0.692422260,1,User Input,Mod 5000,,,,,,,,
0.02,29.10,3.36,-1.29,,,,1.793466460,3.311669524,-1.397577740,-1,,0-4999,414,688,815,488,845,611,419,720
0.03,27.63,1.16,-1.85,,,,0.323466460,1.111669524,-1.957577740,-1,,5000-9999,380,757,820,516,777,530,444,776
0.04,26.24,-2.32,-0.75,,,,-1.066533540,-2.368330476,-0.857577740,-3,,10000-14999,621,1016,599,372,540,328,536,988
0.05,26.13,-0.37,-0.45,,,,-1.176533540,-0.418330476,-0.557577740,-3,,15000-19999,366,682,948,512,877,483,478,654
0.06,26.03,1.56,-0.15,,,,-1.276533540,1.511669524,-0.257577740,-2,,20000-24999,455,743,880,512,811,467,414,718
0.07,28.90,0.31,0.06,,,,1.593466460,0.261669524,-0.047577740,-1,,25000-29744,374,717,793,398,698,365,478,922
0.08,29.17,1.97,0.17,,,,1.863466460,1.921669524,0.062422260,1,,,,,,,,,,
0.09,30.42,3.90,-1.38,,,,3.113466460,3.851669524,-1.487577740,-1,,,,,,,,,,
0.10,31.67,2.93,-0.60,,,,4.363466460,2.881669524,-0.707577740,-1,,,,,,,,,,
0.11,29.73,2.16,-0.82,,,,2.423466460,2.111669524,-0.927577740,-1,,,,,,,,,,
0.12,30.75,4.27,-1.68,,,,3.443466460,4.221669524,-1.787577740,-1,,,,,,,,,,
0.13,31.79,3.21,-1.25,,,,4.483466460,3.161669524,-1.357577740,-1,,,,,,,,,,
0.14,25.15,3.40,-1.59,,,,-2.156533540,3.351669524,-1.697577740,-2,,,,,,,,,,
0.15,24.13,0.68,0.15,,,,-3.176533540,0.631669524,0.042422260,2,,,,,,,,,,
0.16,23.11,2.04,-0.72,,,,-4.196533540,1.991669524,-0.827577740,-2,,,,,,,,,,
0.17,25.55,3.31,1.45,,,,-1.756533540,3.261669524,1.342422260,2,,,,,,,,,,
0.18,25.61,2.18,2.04,,,,-1.696533540,2.131669524,1.932422260,2,,,,,,,,,,
0.19,25.02,2.10,2.09,,,,-2.286533540,2.051669524,1.982422260,2,,,,,,,,,,
0.20,26.94,0.21,2.22,,,,-0.366533540,0.161669524,2.112422260,2,,,,,,,,,,
0.21,27.21,0.24,1.65,,,,-0.096533540,0.191669524,1.542422260,2,,,,,,,,,,
0.22,29.40,-0.34,0.46,,,,2.093466460,-0.388330476,0.352422260,4,,,,,,,,,,
0.23,30.50,-1.76,1.31,,,,3.193466460,-1.808330476,1.202422260,4,,,,,,,,,,
0.24,29.03,2.61,0.12,,,,1.723466460,2.561669524,0.012422260,1,,,,,,,,,,
0.25,25.83,-0.88,0.74,,,,-1.476533540,-0.928330476,0.632422260,3,,,,,,,,,,
0.26,25.18,3.31,0.19,,,,-2.126533540,3.261669524,0.082422260,2,,,,,,,,,,
0.27,24.95,0.24,1.11,,,,-2.356533540,0.191669524,1.002422260,2,,,,,,,,,,
0.28,29.98,0.97,2.08,,,,2.673466460,0.921669524,1.972422260,1,,,,,,,,,,
